par,mus,timbre,fam,att,tech,reg,regn,val,ten,energy,pref,familiar
1,0,0,1,3,0,1,1,0.27856,0.985915,0.051643,0.004695,0.043818
1,0,1,1,3,0,2,2,0.370892,0.779343,0.114241,0.112676,0.042254
1,0,2,1,2,0,1,1,0.248826,0.978091,0.250391,0.115806,0.065728
1,0,3,1,2,0,2,2,0.378717,0.752739,0.389671,0.341158,0.035994
1,0,4,1,1,0,1,1,0.025039,1,0.496088,0.028169,0.065728
1,0,5,1,1,0,2,2,0.01252,0.99061,0.010955,0.010955,0.031299
1,0,6,1,2,1,1,1,0.050078,1,0.107981,0,0.021909
1,0,7,1,2,1,2,2,0.029734,1,0.035994,0.028169,0.015649
1,0,8,1,3,0,3,3,0.505477,0.494523,0.397496,0.377152,0.029734
1,0,9,1,3,0,4,4,0.250391,0.597809,0.388106,0.389671,0.031299
1,0,10,1,2,0,3,3,0.497653,0.496088,0.629108,0.508607,0.048513
1,0,11,1,2,0,4,4,0.616588,0.755869,0.746479,0.269171,0.220657
1,0,12,1,1,0,3,3,0.035994,0.929577,0.615023,0.062598,0.347418
1,0,13,1,1,0,4,4,0.510172,0.618153,0.355243,0.388106,0.007825
1,0,14,1,2,1,3,3,0.00939,0.992175,0.106416,0.023474,0.12989
1,0,15,1,2,1,4,4,0.120501,0.746479,0.568075,0.128326,0.031299
1,0,16,1,3,0,1,1,0.017214,0.978091,0.126761,0.014085,0.023474
1,0,17,1,3,0,2,2,0.010955,0.989045,0.245696,0.122066,0.031299
1,0,18,1,2,0,1,1,0.098592,0.935837,0.643192,0.056338,0.035994
1,0,19,1,2,0,2,2,0.039124,0.937402,0.364632,0.028169,0.01252
1,0,20,1,2,1,2,2,0.014085,0.973396,0.050078,0.014085,0.059468
1,0,21,1,3,0,3,3,0.513302,0.622848,0.394366,0.500782,0.035994
1,0,22,1,2,0,3,3,0.042254,0.949922,0.494523,0.128326,0.043818
1,0,23,1,2,1,3,3,0.256651,0.744914,0.369327,0.276995,0.13928
1,0,24,1,3,0,4,4,0.503912,0.840376,0.666667,0.120501,0.14241
1,0,25,1,2,0,4,4,0.503912,0.524257,0.492958,0.500782,0.040689
1,0,26,1,1,0,3,3,0.064163,0.616588,0.500782,0.122066,0.097027
1,0,27,1,1,0,4,4,0.485133,0.608764,0.737089,0.521127,0.014085
1,0,28,1,2,1,4,4,0.062598,0.945227,0.045383,0.081377,0.126761
1,0,29,1,3,0,3,3,0.503912,0.419405,0.636933,0.503912,0.050078
1,0,30,1,3,0,4,4,0.474178,0.492958,0.738654,0.510172,0.020344
1,0,31,1,3,0,5,5,0.621283,0.532081,0.86385,0.766823,0.065728
1,0,32,1,2,0,3,3,0.025039,0.992175,0.644757,0.01252,0.040689
1,0,33,1,2,0,4,4,0.266041,0.629108,0.635368,0.256651,0.054773
1,0,34,1,2,0,5,5,0.370892,0.749609,0.716745,0.247261,0.031299
